,sent_index,tag,para_index,position_tag,speaker_tag,type_tag,tokenized_sent,chapter_tag,label,split_tag,tokenized_sent_clean
0,4,"(4, '1', 'mother', 'c_1', 'Chapter 1', '""My dear Mr Bennet,"" [N] ""have you heard that       Netherfield Park is let at last?""')",4,1,mother,c_1,"""My dear Mr Bennet,"" [N] ""have you heard that       Netherfield Park is let at last?""",Chapter 1,not,train,"My dear Mr Bennet, [N] have you heard that       Netherfield Park is let at last?"
1,6,"(6, '1', 'mother', 'c_1', 'Chapter 1', '""But it is,"" [N] ""for Mrs Long has just been here, and she told       me all about it.""')",6,1,mother,c_1,"""But it is,"" [N] ""for Mrs Long has just been here, and she told       me all about it.""",Chapter 1,part,train,"But it is, [N] for Mrs Long has just been here, and she told       me all about it."
2,8,"(8, '1', 'mother', 'c_1', 'Chapter 1', '""Do you not want to know who has taken it?"" [N]')",8,1,mother,c_1,"""Do you not want to know who has taken it?"" [N]",Chapter 1,part,train,Do you not want to know who has taken it? [N]
3,9,"(9, '2', 'father', 'c_1', 'Chapter 1', '""You want to tell me, and I have no objection to hearing it.""')",9,2,father,c_1,"""You want to tell me, and I have no objection to hearing it.""",Chapter 1,response,train,"You want to tell me, and I have no objection to hearing it."
4,11,"(11, '1', '', 'c_1', 'Chapter 1', '""Why, my dear, you must know, Mrs Long says that Netherfield is taken by       a young man of large fortune from the north of England; that he came down       on Monday in a chaise and four to see the place, and was so much delighted       with it, that he agreed with Mr Morris immediately; that he is to take       possession before Michaelmas, and some of his servants are to be in the       house by the end of next week.""')",11,1,,c_1,"""Why, my dear, you must know, Mrs Long says that Netherfield is taken by       a young man of large fortune from the north of England; that he came down       on Monday in a chaise and four to see the place, and was so much delighted       with it, that he agreed with Mr Morris immediately; that he is to take       possession before Michaelmas, and some of his servants are to be in the       house by the end of next week.""",Chapter 1,response,train,"Why, my dear, you must know, Mrs Long says that Netherfield is taken by       a young man of large fortune from the north of England; that he came down       on Monday in a chaise and four to see the place, and was so much delighted       with it, that he agreed with Mr Morris immediately; that he is to take       possession before Michaelmas, and some of his servants are to be in the       house by the end of next week."
5,12,"(12, '2', '', 'c_1', 'Chapter 1', '""What is his name?""')",12,2,,c_1,"""What is his name?""",Chapter 1,response,train,What is his name?
6,13,"(13, '1', '', 'c_1', 'Chapter 1', '""Bingley.""')",13,1,,c_1,"""Bingley.""",Chapter 1,response,train,Bingley.
7,14,"(14, '2', '', 'c_1', 'Chapter 1', '""Is he married or single?""')",14,2,,c_1,"""Is he married or single?""",Chapter 1,response,train,Is he married or single?
8,15,"(15, '1', '', 'c_1', 'Chapter 1', '""Oh! Single, my dear, to be sure! A single man of large fortune; four or       five thousand a year. What a fine thing for our girls!""')",15,1,,c_1,"""Oh! Single, my dear, to be sure! A single man of large fortune; four or       five thousand a year. What a fine thing for our girls!""",Chapter 1,response,train,"Oh! Single, my dear, to be sure! A single man of large fortune; four or       five thousand a year. What a fine thing for our girls!"
9,16,"(16, '2', '', 'c_1', 'Chapter 1', '""How so? How can it affect them?""')",16,2,,c_1,"""How so? How can it affect them?""",Chapter 1,response,train,How so? How can it affect them?
