,utter_1,utter_2,label,split_tag
0,"""My dear Mr Bennet,"" [N] ""have you heard that       Netherfield Park is let at last?""","""But it is,"" [N] ""for Mrs Long has just been here, and she told       me all about it.""",part,train
1,"""But it is,"" [N] ""for Mrs Long has just been here, and she told       me all about it.""","""Do you not want to know who has taken it?"" [N]",part,train
2,"""Do you not want to know who has taken it?"" [N]","""You want to tell me, and I have no objection to hearing it.""",response,train
3,"""You want to tell me, and I have no objection to hearing it.""","""Why, my dear, you must know, Mrs Long says that Netherfield is taken by       a young man of large fortune from the north of England; that he came down       on Monday in a chaise and four to see the place, and was so much delighted       with it, that he agreed with Mr Morris immediately; that he is to take       possession before Michaelmas, and some of his servants are to be in the       house by the end of next week.""",response,train
4,"""Why, my dear, you must know, Mrs Long says that Netherfield is taken by       a young man of large fortune from the north of England; that he came down       on Monday in a chaise and four to see the place, and was so much delighted       with it, that he agreed with Mr Morris immediately; that he is to take       possession before Michaelmas, and some of his servants are to be in the       house by the end of next week.""","""What is his name?""",response,train
5,"""What is his name?""","""Bingley.""",response,train
6,"""Bingley.""","""Is he married or single?""",response,train
7,"""Is he married or single?""","""Oh! Single, my dear, to be sure! A single man of large fortune; four or       five thousand a year. What a fine thing for our girls!""",response,train
8,"""Oh! Single, my dear, to be sure! A single man of large fortune; four or       five thousand a year. What a fine thing for our girls!""","""How so? How can it affect them?""",response,train
9,"""How so? How can it affect them?""","""My dear Mr Bennet,"" [N] ""how can you be so tiresome! You       must know that I am thinking of his marrying one of them.""",response,train
10,"""My dear Mr Bennet,"" [N] ""how can you be so tiresome! You       must know that I am thinking of his marrying one of them.""","""Is that his design in settling here?""",response,train
11,"""Is that his design in settling here?""","""Design! Nonsense, how can you talk so! But it is very likely that he may       fall in love with one of them, and therefore you must visit him as soon as       he comes.""",response,train
12,"""Design! Nonsense, how can you talk so! But it is very likely that he may       fall in love with one of them, and therefore you must visit him as soon as       he comes.""","""I see no occasion for that. You and the girls may go, or you may send       them by themslves, which perhaps will be still better, for as you are as       handsome as any of them, Mr Bingley may like you the best of the party.""",response,train
