,para_index,tag,para,num_utterances,raw_utter_list,tokenized_sent,chapter_tag
0,0,narrative,"Jane Eyre, by Charlotte Bronte",0,[],"['Jane Eyre, by Charlotte Bronte']",
1,1,narrative,"Transcribed from the 1897 Service & Paton edition by David Price, email ccx074@pglaf.org",0,[],"['Transcribed from the 1897 Service & Paton edition by David Price, email ccx074@pglaf.org']",
2,2,narrative,by CHARLOTTE BRONTË,0,[],['by CHARLOTTE BRONTË'],
3,3,narrative,ILLUSTRATED BY F. H. TOWNSEND,0,[],['ILLUSTRATED BY F. H. TOWNSEND'],
4,4,narrative,"London SERVICE & PATON
5 henrietta street 1897",0,[],['London SERVICE & PATON\n5 henrietta street 1897'],
5,5,narrative,"The Illustrations
in this Volume are the copyright of
Service & Paton, London",0,[],"['The Illustrations\nin this Volume are the copyright of\nService & Paton, London']",
6,6,narrative,"TO W. M. THACKERAY, Esq.,",0,[],"['TO W. M. THACKERAY, Esq.,']",
7,7,narrative,"This Work
is respectfully inscribed",0,[],['This Work\nis respectfully inscribed'],
8,8,narrative,by THE AUTHOR,0,[],['by THE AUTHOR'],
9,9,narrative,PREFACE,0,[],['PREFACE'],
10,10,utterance,"A preface to the first edition of ""Jane Eyre"" being unnecessary, I gave none: this second edition demands a few words both of acknowledgment and miscellaneous remark.",1,"['""Jane Eyre""']","['A preface to the first edition of ', '""Jane Eyre""', ' being unnecessary, I gave none: this second edition demands a few words both of acknowledgment and miscellaneous remark.']",
11,11,narrative,My thanks are due in three quarters.,0,[],['My thanks are due in three quarters.'],
12,12,narrative,"To the Public, for the indulgent ear it has inclined to a plain tale with few pretensions.",0,[],"['To the Public, for the indulgent ear it has inclined to a plain tale with few pretensions.']",
13,13,narrative,"To the Press, for the fair field its honest suffrage has opened to an obscure aspirant.",0,[],"['To the Press, for the fair field its honest suffrage has opened to an obscure aspirant.']",
14,14,narrative,"To my Publishers, for the aid their tact, their energy, their practical sense and frank liberality have afforded an unknown and unrecommended Author.",0,[],"['To my Publishers, for the aid their tact, their energy, their practical sense and frank liberality have afforded an unknown and unrecommended Author.']",
15,15,narrative,"The Press and the Public are but vague personifications for me, and I must thank them in vague terms; but my Publishers are definite: so are certain generous critics who have encouraged me as only large-hearted and high-minded men know how to encourage a struggling stranger; to them, i.e., to my Publishers and the select Reviewers, I say cordially, Gentlemen, I thank you from my heart.",0,[],"['The Press and the Public are but vague personifications for me, and I must thank them in vague terms but my Publishers are definite: so are certain generous critics who have encouraged me as only large-hearted and high-minded men know how to encourage a struggling stranger; to them, i.e., to my Publishers and the select Reviewers, I say cordially, Gentlemen, I thank you from my heart.']",
