,para_index,tag,para,num_utterances,raw_utter_list,tokenized_sent,chapter_tag
0,0,narrative,By Jane Austen,0,[],['By Jane Austen'],
1,1,narrative,CONTENTS,0,[],['CONTENTS'],
2,2,narrative,Chapter 1,0,[],['Chapter 1'],Chapter 1
3,3,narrative,Chapter 2,0,[],['Chapter 2'],Chapter 2
4,4,narrative,Chapter 3,0,[],['Chapter 3'],Chapter 3
5,5,narrative,Chapter 4,0,[],['Chapter 4'],Chapter 4
6,6,narrative,Chapter 5,0,[],['Chapter 5'],Chapter 5
7,7,narrative,Chapter 6,0,[],['Chapter 6'],Chapter 6
8,8,narrative,Chapter 7,0,[],['Chapter 7'],Chapter 7
9,9,narrative,Chapter 8,0,[],['Chapter 8'],Chapter 8
10,10,narrative,Chapter 9,0,[],['Chapter 9'],Chapter 9
11,11,narrative,Chapter 10,0,[],['Chapter 10'],Chapter 10
12,12,narrative,Chapter 11,0,[],['Chapter 11'],Chapter 11
13,13,narrative,Chapter 12,0,[],['Chapter 12'],Chapter 12
14,14,narrative,Chapter 13,0,[],['Chapter 13'],Chapter 13
15,15,narrative,Chapter 14,0,[],['Chapter 14'],Chapter 14
16,16,narrative,Chapter 15,0,[],['Chapter 15'],Chapter 15
17,17,narrative,Chapter 16,0,[],['Chapter 16'],Chapter 16
18,18,narrative,Chapter 17,0,[],['Chapter 17'],Chapter 17
19,19,narrative,Chapter 18,0,[],['Chapter 18'],Chapter 18
20,20,narrative,Chapter 19,0,[],['Chapter 19'],Chapter 19
21,21,narrative,Chapter 20,0,[],['Chapter 20'],Chapter 20
22,22,narrative,Chapter 21,0,[],['Chapter 21'],Chapter 21
23,23,narrative,Chapter 22,0,[],['Chapter 22'],Chapter 22
24,24,narrative,Chapter 23,0,[],['Chapter 23'],Chapter 23
25,25,narrative,Chapter 24,0,[],['Chapter 24'],Chapter 24
26,26,narrative,Chapter 25,0,[],['Chapter 25'],Chapter 25
27,27,narrative,Chapter 26,0,[],['Chapter 26'],Chapter 26
28,28,narrative,Chapter 27,0,[],['Chapter 27'],Chapter 27
29,29,narrative,Chapter 28,0,[],['Chapter 28'],Chapter 28
30,30,narrative,Chapter 29,0,[],['Chapter 29'],Chapter 29
31,31,narrative,Chapter 30,0,[],['Chapter 30'],Chapter 30
32,32,narrative,Chapter 31,0,[],['Chapter 31'],Chapter 31
33,33,narrative,Chapter 32,0,[],['Chapter 32'],Chapter 32
34,34,narrative,Chapter 33,0,[],['Chapter 33'],Chapter 33
35,35,narrative,Chapter 34,0,[],['Chapter 34'],Chapter 34
36,36,narrative,Chapter 35,0,[],['Chapter 35'],Chapter 35
37,37,narrative,Chapter 36,0,[],['Chapter 36'],Chapter 36
38,38,narrative,Chapter 37,0,[],['Chapter 37'],Chapter 37
39,39,narrative,Chapter 38,0,[],['Chapter 38'],Chapter 38
40,40,narrative,Chapter 39,0,[],['Chapter 39'],Chapter 39
41,41,narrative,Chapter 40,0,[],['Chapter 40'],Chapter 40
42,42,narrative,Chapter 41,0,[],['Chapter 41'],Chapter 41
43,43,narrative,Chapter 42,0,[],['Chapter 42'],Chapter 42
44,44,narrative,Chapter 43,0,[],['Chapter 43'],Chapter 43
45,45,narrative,Chapter 44,0,[],['Chapter 44'],Chapter 44
46,46,narrative,Chapter 45,0,[],['Chapter 45'],Chapter 45
47,47,narrative,Chapter 46,0,[],['Chapter 46'],Chapter 46
48,48,narrative,Chapter 47,0,[],['Chapter 47'],Chapter 47
49,49,narrative,Chapter 48,0,[],['Chapter 48'],Chapter 48
50,50,narrative,Chapter 49,0,[],['Chapter 49'],Chapter 49
51,51,narrative,Chapter 50,0,[],['Chapter 50'],Chapter 50
52,52,narrative,Chapter 51,0,[],['Chapter 51'],Chapter 51
53,53,narrative,Chapter 52,0,[],['Chapter 52'],Chapter 52
54,54,narrative,Chapter 53,0,[],['Chapter 53'],Chapter 53
55,55,narrative,Chapter 54,0,[],['Chapter 54'],Chapter 54
56,56,narrative,Chapter 55,0,[],['Chapter 55'],Chapter 55
57,57,narrative,Chapter 56,0,[],['Chapter 56'],Chapter 56
58,58,narrative,Chapter 57,0,[],['Chapter 57'],Chapter 57
59,59,narrative,Chapter 58,0,[],['Chapter 58'],Chapter 58
60,60,narrative,Chapter 59,0,[],['Chapter 59'],Chapter 59
61,61,narrative,Chapter 60,0,[],['Chapter 60'],Chapter 60
62,62,narrative,Chapter 61,0,[],['Chapter 61'],Chapter 61
63,63,narrative,Chapter 1,0,[],['Chapter 1'],Chapter 1
