,para_index,tag,para,num_utterances,raw_utter_list,tokenized_sent,chapter_tag
0,0,narrative,Wilkie Collins,0,[],['Wilkie Collins'],
1,1,narrative,CONTENTS,0,[],['CONTENTS'],
2,2,narrative,"This is the story of what a Woman's patience can endure, and what a Man's
      resolution can achieve.",0,[],"[""This is the story of what a Woman's patience can endure, and what a Man's\n      resolution can achieve.""]",
3,3,narrative,"If the machinery of the Law could be depended on to fathom every case of
      suspicion, and to conduct every process of inquiry, with moderate
      assistance only from the lubricating influences of oil of gold, the events
      which fill these pages might have claimed their share of the public
      attention in a Court of Justice.",0,[],"['If the machinery of the Law could be depended on to fathom every case of\n      suspicion, and to conduct every process of inquiry, with moderate\n      assistance only from the lubricating influences of oil of gold, the events\n      which fill these pages might have claimed their share of the public\n      attention in a Court of Justice.']",
4,4,narrative,"But the Law is still, in certain inevitable cases, the pre-engaged servant
      of the long purse; and the story is left to be told, for the first time,
      in this place. As the Judge might once have heard it, so the Reader shall
      hear it now. No circumstance of importance, from the beginning to the end
      of the disclosure, shall be related on hearsay evidence. When the writer
      of these introductory lines (Walter Hartright by name) happens to be more
      closely connected than others with the incidents to be recorded, he will
      describe them in his own person. When his experience fails, he will retire
      from the position of narrator; and his task will be continued, from the
      point at which he has left it off, by other persons who can speak to the
      circumstances under notice from their own knowledge, just as clearly and
      positively as he has spoken before them.",0,[],"['But the Law is still, in certain inevitable cases, the pre-engaged servant\n      of the long purse; and the story is left to be told, for the first time,\n      in this place. As the Judge might once have heard it, so the Reader shall\n      hear it now. No circumsance of importance, from the beginning to the end\n      of the disclosure, shall be related on hearsay evidence. When the writer\n      of these introductory lines (Walter Hartright by name) happens to be more\n      closely connected than others with the incidents to be recorded, he will\n      describe them in his own person. When his experience fails, he will retire\n      from the position of narrator; and his task will be continued, from the\n      point at which he has left it off, by other persons who can speak to the\n      circumsances under notice from their own knowledge, just as clearly and\n      positively as he has spoken before them.']",
5,5,narrative,"Thus, the story here presented will be told by more than one pen, as the
      story of an offence against the laws is told in Court by more than one
      witness—with the same object, in both cases, to present the truth
      always in its most direct and most intelligible aspect; and to trace the
      course of one complete series of events, by making the persons who have
      been most closely connected with them, at each successive stage, relate
      their own experience, word for word.",0,[],"['Thus, the story here presented will be told by more than one pen, as the\n      story of an offence against the laws is told in Court by more than one\n      witness—with the same object, in both cases, to present the truth\n      always in its most direct and most intelligible aspect; and to trace the\n      course of one complete series of events, by making the persons who have\n      been most closely connected with them, at each successive stage, relate\n      their own experience, word for word.']",
6,6,narrative,"Let Walter Hartright, teacher of drawing, aged twenty-eight years, be
      heard first.",0,[],"['Let Walter Hartright, teacher of drawing, aged twenty-eight years, be\n      heard first.']",
7,7,narrative,"It was the last day of July. The long hot summer was drawing to a close;
      and we, the weary pilgrims of the London pavement, were beginning to think
      of the cloud-shadows on the corn-fields, and the autumn breezes on the
      sea-shore.",0,[],"['It was the last day of July. The long hot summer was drawing to a close;\n      and we, the weary pilgrimsof the London pavement, were beginning to think\n      of the cloud-shadows on the corn-fields, and the autumn breezes on the\n      sea-shore.']",
8,8,narrative,"For my own poor part, the fading summer left me out of health, out of
      spirits, and, if the truth must be told, out of money as well. During the
      past year I had not managed my professional resources as carefully as
      usual; and my extravagance now limited me to the prospect of spending the
      autumn economically between my mother's cottage at Hampstead and my own
      chambers in town.",0,[],"[""For my own poor part, the fading summer left me out of health, out of\n      spirits, and, if the truth must be told, out of money as well. During the\n      past year I had not managed my professional resources as carefully as\n      usual; and my extravagance now limited me to the prospect of spending the\n      autumn economically between my mother's cottage at Hampstead and my own\n      chambers in town.""]",
9,9,narrative,"The evening, I remember, was still and cloudy; the London air was at its
      heaviest; the distant hum of the street-traffic was at its faintest; the
      small pulse of the life within me, and the great heart of the city around
      me, seemed to be sinking in unison, languidly and more languidly, with the
      sinking sun. I roused myself from the book which I was dreaming over
      rather than reading, and left my chambers to meet the cool night air in
      the suburbs. It was one of the two evenings in every week which I was
      accustomed to spend with my mother and my sister. So I turned my steps
      northward in the direction of Hampstead.",0,[],"['The evening, I remember, was still and cloudy; the London air was at its\n      heaviest; the distant hum of the street-traffic was at its faintest; the\n      small pulse of the life within me, and the great heart of the city around\n      me, seemed to be sinking in unison, languidly and more languidly, with the\n      sinking sun. I roused myself from the book which I was dreaming over\n      rather than reading, and left my chambers to meet the cool night air in\n      the suburbs. It was one of the two evenings in every week which I was\n      accustomed to spend with my mother and my sister. So I turned my steps\n      northward in the direction of Hampstead.']",
10,10,narrative,"Events which I have yet to relate make it necessary to mention in this
      place that my father had been dead some years at the period of which I am
      now writing; and that my sister Sarah and I were the sole survivors of a
      family of five children. My father was a drawing-master before me. His
      exertions had made him highly successful in his profession; and his
      affectionate anxiety to provide for the future of those who were dependent
      on his labours had impelled him, from the time of his marriage, to devote
      to the insuring of his life a much larger portion of his income than most
      men consider it necessary to set aside for that purpose. Thanks to his
      admirable prudence and self-denial my mother and sister were left, after
      his death, as independent of the world as they had been during his
      lifetime. I succeeded to his connection, and had every reason to feel
      grateful for the prospect that awaited me at my starting in life.",0,[],"['Events which I have yet to relate make it necessary to mention in this\n      place that my father had been dead some years at the period of which I am\n      now writing; and that my sister Sarah and I were the sole survivors of a\n      family of five children. My father was a drawing-master before me. His\n      exertions had made him highly successful in his profession; and his\n      affectionate anxiety to provide for the future of those who were dependent\n      on his labours had impelled him, from the time of his marriage, to devote\n      to the insuring of his life a much larger portion of his income than most\n      men consider it necessary to set aside for that purpose. Thanks to his\n      admirable prudence and self-denial my mother and sister were left, after\n      his death, as independent of the world as they had been during his\n      lifetime. I succeeded to his connection, and had every reason to feel\n      grateful for the prospect that awaited me at my starting in life.']",
11,11,narrative,"The quiet twilight was still trembling on the topmost ridges of the heath;
      and the view of London below me had sunk into a black gulf in the shadow
      of the cloudy night, when I stood before the gate of my mother's cottage.
      I had hardly rung the bell before the house door was opened violently; my
      worthy Italian friend, Professor Pesca, appeared in the servant's place;
      and darted out joyously to receive me, with a shrill foreign parody on an
      English cheer.",0,[],"[""The quiet twilight was still trembling on the topmost ridges of the heath;\n      and the view of London below me had sunk into a black gulf in the shadow\n      of the cloudy night, when I stood before the gate of my mother's cottage.\n      I had hardly rung the bell before the house door was opened violently; my\n      worthy Italian friend, Professor Pesca, appeared in the servant's place;\n      and darted out joyously to receive me, with a shrill foreign parody on an\n      English cheer.""]",
12,12,narrative,"On his own account, and, I must be allowed to add, on mine also, the
      Professor merits the honour of a formal introduction. Accident has made
      him the starting-point of the strange family story which it is the purpose
      of these pages to unfold.",0,[],"['On his own account, and, I must be allowed to add, on mine also, the\n      Professor merits the honour of a formal introduction. Accident has made\n      him the starting-point of the strange family story which it is the purpose\n      of these pages to unfold.']",
13,13,narrative,"I had first become acquainted with my Italian friend by meeting him at
      certain great houses where he taught his own language and I taught
      drawing. All I then knew of the history of his life was, that he had once
      held a situation in the University of Padua; that he had left Italy for
      political reasons (the nature of which he uniformly declined to mention to
      any one); and that he had been for many years respectably established in
      London as a teacher of languages.",0,[],"['I had first become acquainted with my Italian friend by meeting him at\n      certain great houses where he taught his own language and I taught\n      drawing. All I then knew of the history of his life was, that he had once\n      held a situation in the University of Padua; that he had left Italy for\n      political reasons (the nature of which he uniformly declined to mention to\n      any one); and that he had been for many years respectably established in\n      London as a teacher of languages.']",
