,utter_1,utter_2,label,chapter_tag,split_tag
0,"""My dear Mr Bennet,""","""have you heard that       Netherfield Park is let at last?""",B-START,Chapter 1,train
1,"""have you heard that       Netherfield Park is let at last?""","""But it is,""",I-START,Chapter 1,train
2,"""But it is,""","""for Mrs Long has just been here, and she told       me all about it.""",B-OTHER,Chapter 1,train
3,"""for Mrs Long has just been here, and she told       me all about it.""","""Do you not want to know who has taken it?""",I-OTHER,Chapter 1,train
4,"""Do you not want to know who has taken it?""","""You want to tell me, and I have no objection to hearing it.""",B-OTHER,Chapter 1,train
5,"""You want to tell me, and I have no objection to hearing it.""","""Why, my dear, you must know, Mrs Long says that Netherfield is taken by       a young man of large fortune from the north of England; that he came down       on Monday in a chaise and four to see the place, and was so much delighted       with it, that he agreed with Mr Morris immediately; that he is to take       possession before Michaelmas, and some of his servants are to be in the       house by the end of next week.""",B-OTHER,Chapter 1,train
6,"""Why, my dear, you must know, Mrs Long says that Netherfield is taken by       a young man of large fortune from the north of England; that he came down       on Monday in a chaise and four to see the place, and was so much delighted       with it, that he agreed with Mr Morris immediately; that he is to take       possession before Michaelmas, and some of his servants are to be in the       house by the end of next week.""","""What is his name?""",B-OTHER,Chapter 1,train
7,"""What is his name?""","""Bingley.""",B-OTHER,Chapter 1,train
8,"""Bingley.""","""Is he married or single?""",B-OTHER,Chapter 1,train
9,"""Is he married or single?""","""Oh! Single, my dear, to be sure! A single man of large fortune; four or       five thousand a year. What a fine thing for our girls!""",B-OTHER,Chapter 1,train
10,"""Oh! Single, my dear, to be sure! A single man of large fortune; four or       five thousand a year. What a fine thing for our girls!""","""How so? How can it affect them?""",B-OTHER,Chapter 1,train
11,"""How so? How can it affect them?""","""My dear Mr Bennet,""",B-OTHER,Chapter 1,train
12,"""My dear Mr Bennet,""","""how can you be so tiresome! You       must know that I am thinking of his marrying one of them.""",B-OTHER,Chapter 1,train
13,"""how can you be so tiresome! You       must know that I am thinking of his marrying one of them.""","""Is that his design in settling here?""",I-OTHER,Chapter 1,train
14,"""Is that his design in settling here?""","""Design! Nonsense, how can you talk so! But it is very likely that he may       fall in love with one of them, and therefore you must visit him as soon as       he comes.""",B-OTHER,Chapter 1,train
15,"""Design! Nonsense, how can you talk so! But it is very likely that he may       fall in love with one of them, and therefore you must visit him as soon as       he comes.""","""I see no occasion for that. You and the girls may go, or you may send       them by themslves, which perhaps will be still better, for as you are as       handsome as any of them, Mr Bingley may like you the best of the party.""",B-OTHER,Chapter 1,train
16,"""I see no occasion for that. You and the girls may go, or you may send       them by themslves, which perhaps will be still better, for as you are as       handsome as any of them, Mr Bingley may like you the best of the party.""","""My dear, you flatter me. I certainly have had my share of beauty,       but I do not pretend to be anything extraordinary now. When a woman has       five grown-up daughters, she ought to give over thinking of her own       beauty.""",B-OTHER,Chapter 1,train
17,"""My dear, you flatter me. I certainly have had my share of beauty,       but I do not pretend to be anything extraordinary now. When a woman has       five grown-up daughters, she ought to give over thinking of her own       beauty.""","""In such cases, a woman has not often much beauty to think of.""",B-OTHER,Chapter 1,train
18,"""In such cases, a woman has not often much beauty to think of.""","""But, my dear, you must indeed go and see Mr Bingley when he comes into       the neighbourhood.""",B-OTHER,Chapter 1,train
19,"""But, my dear, you must indeed go and see Mr Bingley when he comes into       the neighbourhood.""","""It is more than I engage for, I assure you.""",B-OTHER,Chapter 1,train
20,"""It is more than I engage for, I assure you.""","""But consider your daughters. Only think what an establishment it would be       for one of them. Sir William and Lady Lucas are determined to go, merely       on that account, for in general, you know, they visit no newcomers. Indeed       you must go, for it will be impossible for us to visit him if you       do not.""",B-OTHER,Chapter 1,train
21,"""But consider your daughters. Only think what an establishment it would be       for one of them. Sir William and Lady Lucas are determined to go, merely       on that account, for in general, you know, they visit no newcomers. Indeed       you must go, for it will be impossible for us to visit him if you       do not.""","""You are over-scrupulous, surely. I dare say Mr Bingley will be very glad       to see you; and I will send a few lines by you to assure him of my hearty       consent to his marrying whichever he chooses of the girls; though I must       throw in a good word for my little Lizzy.""",B-OTHER,Chapter 1,train
22,"""You are over-scrupulous, surely. I dare say Mr Bingley will be very glad       to see you; and I will send a few lines by you to assure him of my hearty       consent to his marrying whichever he chooses of the girls; though I must       throw in a good word for my little Lizzy.""","""I desire you will do no such thing. Lizzy is not a bit better than the       others; and I am sure she is not half so handsome as Jane, nor half so       good-humoured as Lydia. But you are always giving her the       preference.""",B-OTHER,Chapter 1,train
23,"""I desire you will do no such thing. Lizzy is not a bit better than the       others; and I am sure she is not half so handsome as Jane, nor half so       good-humoured as Lydia. But you are always giving her the       preference.""","""They have none of them much to recommend them,""",B-OTHER,Chapter 1,train
24,"""They have none of them much to recommend them,""","""they are all       silly and ignorant like other girls; but Lizzy has something more of       quickness than her sisters.""",B-OTHER,Chapter 1,train
25,"""they are all       silly and ignorant like other girls; but Lizzy has something more of       quickness than her sisters.""","""Mr Bennet, how can you abuse your own children in such a way? You       take delight in vexing me. You have no compassion for my poor nerves.""",I-OTHER,Chapter 1,train
26,"""Mr Bennet, how can you abuse your own children in such a way? You       take delight in vexing me. You have no compassion for my poor nerves.""","""You mistake me, my dear. I have a high respect for your nerves. They are       my old friends. I have heard you mention them with consideration these       last twenty years at least.""",B-OTHER,Chapter 1,train
27,"""You mistake me, my dear. I have a high respect for your nerves. They are       my old friends. I have heard you mention them with consideration these       last twenty years at least.""","""Ah, you do not know what I suffer.""",B-OTHER,Chapter 1,train
28,"""Ah, you do not know what I suffer.""","""But I hope you will get over it, and live to see many young men of four       thousand a year come into the neighbourhood.""",B-OTHER,Chapter 1,train
29,"""But I hope you will get over it, and live to see many young men of four       thousand a year come into the neighbourhood.""","""It will be no use to us, if twenty such should come, since you will not       visit them.""",B-OTHER,Chapter 1,train
30,"""It will be no use to us, if twenty such should come, since you will not       visit them.""","""Depend upon it, my dear, that when there are twenty, I will visit them       all.""",B-OTHER,Chapter 1,train
31,"""I hope Mr Bingley will like it, Lizzy.""","""We are not in a way to know what Mr Bingley likes,""",B-START,Chapter 2,train
32,"""We are not in a way to know what Mr Bingley likes,""","""since we are not to visit.""",B-OTHER,Chapter 2,train
33,"""since we are not to visit.""","""But you forget, mamma,""",I-OTHER,Chapter 2,train
34,"""But you forget, mamma,""","""that we shall meet him at the       assemblies, and that Mrs Long promised to introduce him.""",B-OTHER,Chapter 2,train
35,"""that we shall meet him at the       assemblies, and that Mrs Long promised to introduce him.""","""I do not believe Mrs Long will do any such thing. She has two nieces of       her own. She is a selfish, hypocritical woman, and I have no opinion of       her.""",I-OTHER,Chapter 2,train
36,"""I do not believe Mrs Long will do any such thing. She has two nieces of       her own. She is a selfish, hypocritical woman, and I have no opinion of       her.""","""No more have I,""",B-OTHER,Chapter 2,train
37,"""No more have I,""","""and I am glad to find that you do not       depend on her serving you.""",B-OTHER,Chapter 2,train
38,"""Don't keep coughing so, Kitty, for Heaven's sake! Have a little       compassion on my nerves. You tear them to pieces.""","""Kitty has no discretion in her coughs,""",B-START,Chapter 2,train
39,"""Kitty has no discretion in her coughs,""","""she times them       ill.""",B-OTHER,Chapter 2,train
40,"""she times them       ill.""","""I do not cough for my own amusement,""",I-OTHER,Chapter 2,train
41,"""I do not cough for my own amusement,""","""When is       your next ball to be, Lizzy?""",B-OTHER,Chapter 2,train
42,"""When is       your next ball to be, Lizzy?""","""To-morrow fortnight.""",I-OTHER,Chapter 2,train
43,"""To-morrow fortnight.""","""Aye, so it is,""",B-OTHER,Chapter 2,train
44,"""Aye, so it is,""","""and Mrs Long does not come back till       the day before; so it will be impossible for her to introduce him, for she       will not know him herself.""",B-OTHER,Chapter 2,train
45,"""and Mrs Long does not come back till       the day before; so it will be impossible for her to introduce him, for she       will not know him herself.""","""Then, my dear, you may have the advantage of your friend, and introduce       Mr Bingley to her.""",I-OTHER,Chapter 2,train
46,"""Then, my dear, you may have the advantage of your friend, and introduce       Mr Bingley to her.""","""Impossible, Mr Bennet, impossible, when I am not acquainted with him       myself; how can you be so teasing?""",B-OTHER,Chapter 2,train
47,"""Impossible, Mr Bennet, impossible, when I am not acquainted with him       myself; how can you be so teasing?""","""I honour your circumsection. A fortnight's acquaintance is certainly       very little. One cannot know what a man really is by the end of a       fortnight. But if we do not venture somebody else will; and after       all, Mrs Long and her nieces must stand their chance; and, therefore,       as she will think it an act of kindness, if you decline the office, I will       take it on myself.""",B-OTHER,Chapter 2,train
48,"""I honour your circumsection. A fortnight's acquaintance is certainly       very little. One cannot know what a man really is by the end of a       fortnight. But if we do not venture somebody else will; and after       all, Mrs Long and her nieces must stand their chance; and, therefore,       as she will think it an act of kindness, if you decline the office, I will       take it on myself.""","""Nonsense,       nonsense!""",B-OTHER,Chapter 2,train
49,"""Nonsense,       nonsense!""","""What can be the meaning of that emphatic exclamation?""",B-OTHER,Chapter 2,train
50,"""What can be the meaning of that emphatic exclamation?""","""Do you       consider the formsof introduction, and the stress that is laid on them,       as nonsense? I cannot quite agree with you there. What say you,       Mary? For you are a young lady of deep reflection, I know, and read great       books and make extracts.""",B-OTHER,Chapter 2,train
51,"""Do you       consider the formsof introduction, and the stress that is laid on them,       as nonsense? I cannot quite agree with you there. What say you,       Mary? For you are a young lady of deep reflection, I know, and read great       books and make extracts.""","""While Mary is adjusting her ideas,""",I-OTHER,Chapter 2,train
52,"""While Mary is adjusting her ideas,""","""let us return to Mr       Bingley.""",B-OTHER,Chapter 2,train
53,"""let us return to Mr       Bingley.""","""I am sick of Mr Bingley,""",I-OTHER,Chapter 2,train
54,"""I am sick of Mr Bingley,""","""I am sorry to hear that; but why did not you tell me that before?       If I had known as much this morning I certainly would not have called on       him. It is very unlucky; but as I have actually paid the visit, we cannot       escape the acquaintance now.""",B-OTHER,Chapter 2,train
55,"""How good it was in you, my dear Mr Bennet! But I knew I should persuade       you at last. I was sure you loved your girls too well to neglect such an       acquaintance. Well, how pleased I am! and it is such a good joke, too,       that you should have gone this morning and never said a word about it till       now.""","""Now, Kitty, you may cough as much as you choose,""",B-START,Chapter 2,train
