,para_index,tag,para,num_quotes_up_to_para,num_utterances,raw_utter_list,tokenized_sent,tokenized_sent_clean
0,0,narrative,By Jane Austen,0,0,[],[N],[N]
1,1,narrative,CONTENTS,0,0,[],[N],[N]
2,2,narrative,Chapter 1,0,0,[],[N],[N]
3,3,narrative,Chapter 2,0,0,[],[N],[N]
4,4,narrative,Chapter 3,0,0,[],[N],[N]
5,5,narrative,Chapter 4,0,0,[],[N],[N]
6,6,narrative,Chapter 5,0,0,[],[N],[N]
7,7,narrative,Chapter 6,0,0,[],[N],[N]
8,8,narrative,Chapter 7,0,0,[],[N],[N]
9,9,narrative,Chapter 8,0,0,[],[N],[N]
10,10,narrative,Chapter 9,0,0,[],[N],[N]
11,11,narrative,Chapter 10,0,0,[],[N],[N]
12,12,narrative,Chapter 11,0,0,[],[N],[N]
13,13,narrative,Chapter 12,0,0,[],[N],[N]
14,14,narrative,Chapter 13,0,0,[],[N],[N]
15,15,narrative,Chapter 14,0,0,[],[N],[N]
16,16,narrative,Chapter 15,0,0,[],[N],[N]
17,17,narrative,Chapter 16,0,0,[],[N],[N]
18,18,narrative,Chapter 17,0,0,[],[N],[N]
19,19,narrative,Chapter 18,0,0,[],[N],[N]
20,20,narrative,Chapter 19,0,0,[],[N],[N]
21,21,narrative,Chapter 20,0,0,[],[N],[N]
22,22,narrative,Chapter 21,0,0,[],[N],[N]
23,23,narrative,Chapter 22,0,0,[],[N],[N]
24,24,narrative,Chapter 23,0,0,[],[N],[N]
25,25,narrative,Chapter 24,0,0,[],[N],[N]
26,26,narrative,Chapter 25,0,0,[],[N],[N]
27,27,narrative,Chapter 26,0,0,[],[N],[N]
28,28,narrative,Chapter 27,0,0,[],[N],[N]
29,29,narrative,Chapter 28,0,0,[],[N],[N]
30,30,narrative,Chapter 29,0,0,[],[N],[N]
31,31,narrative,Chapter 30,0,0,[],[N],[N]
32,32,narrative,Chapter 31,0,0,[],[N],[N]
33,33,narrative,Chapter 32,0,0,[],[N],[N]
34,34,narrative,Chapter 33,0,0,[],[N],[N]
35,35,narrative,Chapter 34,0,0,[],[N],[N]
36,36,narrative,Chapter 35,0,0,[],[N],[N]
37,37,narrative,Chapter 36,0,0,[],[N],[N]
38,38,narrative,Chapter 37,0,0,[],[N],[N]
39,39,narrative,Chapter 38,0,0,[],[N],[N]
40,40,narrative,Chapter 39,0,0,[],[N],[N]
41,41,narrative,Chapter 40,0,0,[],[N],[N]
42,42,narrative,Chapter 41,0,0,[],[N],[N]
43,43,narrative,Chapter 42,0,0,[],[N],[N]
44,44,narrative,Chapter 43,0,0,[],[N],[N]
45,45,narrative,Chapter 44,0,0,[],[N],[N]
46,46,narrative,Chapter 45,0,0,[],[N],[N]
47,47,narrative,Chapter 46,0,0,[],[N],[N]
48,48,narrative,Chapter 47,0,0,[],[N],[N]
49,49,narrative,Chapter 48,0,0,[],[N],[N]
50,50,narrative,Chapter 49,0,0,[],[N],[N]
51,51,narrative,Chapter 50,0,0,[],[N],[N]
52,52,narrative,Chapter 51,0,0,[],[N],[N]
53,53,narrative,Chapter 52,0,0,[],[N],[N]
54,54,narrative,Chapter 53,0,0,[],[N],[N]
55,55,narrative,Chapter 54,0,0,[],[N],[N]
56,56,narrative,Chapter 55,0,0,[],[N],[N]
57,57,narrative,Chapter 56,0,0,[],[N],[N]
58,58,narrative,Chapter 57,0,0,[],[N],[N]
59,59,narrative,Chapter 58,0,0,[],[N],[N]
60,60,narrative,Chapter 59,0,0,[],[N],[N]
61,61,narrative,Chapter 60,0,0,[],[N],[N]
62,62,narrative,Chapter 61,0,0,[],[N],[N]
63,63,narrative,Chapter 1,0,0,[],[N],[N]
64,64,narrative,"It is a truth universally acknowledged, that a single man in possession of       a good fortune, must be in want of a wife.",0,0,[],[N],[N]
65,65,narrative,"However little known the feelings or views of such a man may be on his       first entering a neighbourhood, this truth is so well fixed in the minds       of the surrounding families, that he is considered the rightful property       of some one or other of their daughters.",0,0,[],[N],[N]
66,66,utterance,"""My dear Mr. Bennet,"" said his lady to him one day, ""have you heard that       Netherfield Park is let at last?""",4,2,"['""My dear Mr. Bennet,""', '""have you heard that       Netherfield Park is let at last?""']","""My dear Mr Bennet,"" [N] ""have you heard that       Netherfield Park is let at last?""","My dear Mr Bennet, [N] have you heard that       Netherfield Park is let at last?"
67,67,narrative,Mr. Bennet replied that he had not.,4,0,[],[N],[N]
68,68,utterance,"""But it is,"" returned she; ""for Mrs. Long has just been here, and she told       me all about it.""",8,2,"['""But it is,""', '""for Mrs. Long has just been here, and she told       me all about it.""']","""But it is,"" [N] ""for Mrs Long has just been here, and she told       me all about it.""","But it is, [N] for Mrs Long has just been here, and she told       me all about it."
69,69,narrative,Mr. Bennet made no answer.,8,0,[],[N],[N]
70,70,utterance,"""Do you not want to know who has taken it?"" cried his wife impatiently.",10,1,"['""Do you not want to know who has taken it?""']","""Do you not want to know who has taken it?"" [N]",Do you not want to know who has taken it? [N]
71,71,utterance,"""You want to tell me, and I have no objection to hearing it.""",12,1,"['""You want to tell me, and I have no objection to hearing it.""']","""You want to tell me, and I have no objection to hearing it.""","You want to tell me, and I have no objection to hearing it."
72,72,narrative,This was invitation enough.,12,0,[],[N],[N]
73,73,utterance,"""Why, my dear, you must know, Mrs. Long says that Netherfield is taken by       a young man of large fortune from the north of England; that he came down       on Monday in a chaise and four to see the place, and was so much delighted       with it, that he agreed with Mr. Morris immediately; that he is to take       possession before Michaelmas, and some of his servants are to be in the       house by the end of next week.""",14,1,"['""Why, my dear, you must know, Mrs. Long says that Netherfield is taken by       a young man of large fortune from the north of England; that he came down       on Monday in a chaise and four to see the place, and was so much delighted       with it, that he agreed with Mr. Morris immediately; that he is to take       possession before Michaelmas, and some of his servants are to be in the       house by the end of next week.""']","""Why, my dear, you must know, Mrs Long says that Netherfield is taken by       a young man of large fortune from the north of England; that he came down       on Monday in a chaise and four to see the place, and was so much delighted       with it, that he agreed with Mr Morris immediately; that he is to take       possession before Michaelmas, and some of his servants are to be in the       house by the end of next week.""","Why, my dear, you must know, Mrs Long says that Netherfield is taken by       a young man of large fortune from the north of England; that he came down       on Monday in a chaise and four to see the place, and was so much delighted       with it, that he agreed with Mr Morris immediately; that he is to take       possession before Michaelmas, and some of his servants are to be in the       house by the end of next week."
74,74,utterance,"""What is his name?""",16,1,"['""What is his name?""']","""What is his name?""",What is his name?
75,75,utterance,"""Bingley.""",18,1,"['""Bingley.""']","""Bingley.""",Bingley.
76,76,utterance,"""Is he married or single?""",20,1,"['""Is he married or single?""']","""Is he married or single?""",Is he married or single?
77,77,utterance,"""Oh! Single, my dear, to be sure! A single man of large fortune; four or       five thousand a year. What a fine thing for our girls!""",22,1,"['""Oh! Single, my dear, to be sure! A single man of large fortune; four or       five thousand a year. What a fine thing for our girls!""']","""Oh! Single, my dear, to be sure! A single man of large fortune; four or       five thousand a year. What a fine thing for our girls!""","Oh! Single, my dear, to be sure! A single man of large fortune; four or       five thousand a year. What a fine thing for our girls!"
78,78,utterance,"""How so? How can it affect them?""",24,1,"['""How so? How can it affect them?""']","""How so? How can it affect them?""",How so? How can it affect them?
79,79,utterance,"""My dear Mr. Bennet,"" replied his wife, ""how can you be so tiresome! You       must know that I am thinking of his marrying one of them.""",28,2,"['""My dear Mr. Bennet,""', '""how can you be so tiresome! You       must know that I am thinking of his marrying one of them.""']","""My dear Mr Bennet,"" [N] ""how can you be so tiresome! You       must know that I am thinking of his marrying one of them.""","My dear Mr Bennet, [N] how can you be so tiresome! You       must know that I am thinking of his marrying one of them."
80,80,utterance,"""Is that his design in settling here?""",30,1,"['""Is that his design in settling here?""']","""Is that his design in settling here?""",Is that his design in settling here?
